Id,Name,ShortName,Alias,IHSOperatorCode,OperatorTicker,CompanyType,CreatedBy,Created,ModifiedBy,Modified,RowVersion
22,FIFTH CREEK ENERGY OPERATING COMPANY LLC,FIFTH CREEK,HIGHPOINT,270603,HPR,PUBLIC,NULL,NULL,13,2018-05-18 17:48:29.8746080 +00:00,0x00000000000F7D75
23,GREAT WESTERN DRILLING COMPANY,GREAT WESTERN DRILLING,GREAT WESTERN DRILLING,013400,NULL,PRIVATE,NULL,NULL,13,2018-05-18 00:11:05.2310749 +00:00,0x00000000000F7BCB
24,HESS BAKKEN INVESTMENTS II LLC,HESS,HESS,254790,HES,PUBLIC,NULL,NULL,13,2018-05-18 14:39:59.2284624 +00:00,0x00000000000F7CC9
25,KAISER-FRANCIS OIL COMPANY,KAISER-FRANCIS,KAISER-FRANCIS,062129,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:50:35.9155514 +00:00,0x00000000000F7CEA
26,MARATHON OIL COMPANY,MARATHON,MARATHON,021224,MRO,PUBLIC,NULL,NULL,13,2018-05-18 14:56:44.6253399 +00:00,0x00000000000F7D02
27,MINERAL RESOURCES INC,MINERAL RESOURCES,MINERAL RESOURCES,122964,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:57:45.4087441 +00:00,0x00000000000F7D04
28,PDC ENERGY INC,PDC,PDC,232150,PDCE,PUBLIC,NULL,NULL,13,2018-05-18 16:32:23.9571011 +00:00,0x00000000000F7D5A
29,PIONEER NATURAL RESOURCES USA INC,PIONEER,PIONEER,135647,PXD,PUBLIC,NULL,NULL,13,2018-05-18 14:33:29.1477992 +00:00,0x00000000000F7CB3
30,QEP ENERGY COMPANY,QEP,QEP,231835,QEP,PUBLIC,NULL,NULL,13,2018-05-18 14:32:35.3810908 +00:00,0x00000000000F7CB1
31,SAMSON EXPLORATION LLC,SAMSON EXPLORATION,SAMSON EXPLORATION,238794,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:31:55.6431602 +00:00,0x00000000000F7CB0
32,SYNERGY RESOURCES CORPORATION,SRC,SRC,124166,SRCI,PUBLIC,NULL,NULL,13,2018-05-17 21:02:39.8747468 +00:00,0x00000000000F7969
33,WARD PETROLEUM CORPORATION,WARD,WARD,035491,NULL,PRIVATE,NULL,NULL,13,2018-05-17 20:48:24.4651311 +00:00,0x00000000000F7959
34,WHITING OIL & GAS CORPORATION,WHITING,WHITING,214648,WLL,PUBLIC,NULL,NULL,13,2018-05-17 20:47:52.6069849 +00:00,0x00000000000F7956
35,XTO ENERGY INCORPORATED,XTO,EXXON,209141,XOM,PUBLIC,NULL,NULL,13,2018-05-17 20:47:18.5936898 +00:00,0x00000000000F7955
36,VITRUVIAN II WOODFORD LLC,VITRUVIAN,VITRUVIAN,249811,NULL,PRIVATE,NULL,NULL,13,2018-05-17 20:49:06.1046663 +00:00,0x00000000000F7967
37,CIMAREX ENERGY CO OF COLORADO,CIMAREX,CIMAREX,221190,XEC,PUBLIC,NULL,NULL,13,2018-05-17 21:20:21.0501400 +00:00,0x00000000000F79E3
38,FELIX ENERGY HOLDINGS II LLC,FELIX,FELIX,269849,NULL,PRIVATE,NULL,NULL,13,2018-05-18 00:07:49.4329553 +00:00,0x00000000000F7BC8
39,PARSLEY ENERGY OPERATIONS LLC,PARSELY,PARSELY,227995,PE,PUBLIC,NULL,NULL,13,2018-05-18 15:03:55.9996906 +00:00,0x00000000000F7D0E
40,BAYSWATER EXPLORATION & PRODUCTION LLC,BAYSWATER ,BAYSWATER,236938,NULL,PRIVATE,NULL,NULL,13,2018-05-17 20:34:23.2757874 +00:00,0x00000000000F7937
41,GULFPORT MIDCON LLC,GULFPORT,GULFPORT,272450,GPOR,PUBLIC,NULL,NULL,13,2018-05-18 00:11:57.1264454 +00:00,0x00000000000F7BCC
42,BURLINGTON RESOURCES O&G CO LP,BURLINGTON,CONOCOPHILLIPS,209145,COP,PUBLIC,NULL,NULL,13,2018-05-17 21:25:03.0933907 +00:00,0x00000000000F7A13
43,DIAMONDBACK EXPLORATION & PROD LLC,DIAMONDBACK,DIAMONDBACK,241051,FANG,PUBLIC,NULL,NULL,13,2018-05-17 21:14:52.6910222 +00:00,0x00000000000F79CD
